class_name	ci_count
cmdb_ci_network_adapter	0
cmdb_ci_network_controller	0
cmdb_ci_network_function	0
cmdb_ci_network_host	0
cmdb_ci_network_interface_device	0
cmdb_ci_network_interface_unit	0
cmdb_ci_network_link	0
cmdb_ci_network_monitoring	0
cmdb_ci_network_node	0
cmdb_ci_network_policy_group	0
cmdb_ci_network_tap	0
cmdb_ci_network_template	0
cmdb_ci_network_testing_unit	0
cmdb_ci_network_timing	0
cmdb_ci_net_app_host	0
cmdb_ci_net_app_server	0
cmdb_ci_net_traffic	0
cmdb_ci_nginx_web_server	0
cmdb_ci_nic	0
cmdb_ci_nids	0
cmdb_ci_ni_equipment_holder	0
cmdb_ci_ni_logical_path	0
cmdb_ci_ni_physical_link	0
cmdb_ci_ni_site	0
cmdb_ci_ni_telco_equipment	0
cmdb_ci_nsx_lb	0
cmdb_ci_nutanix_cluster	0
cmdb_ci_nutanix_controller_vm	0
cmdb_ci_nutanix_host	0
cmdb_ci_nutanix_prism_central	0
cmdb_ci_nutanix_storage_container	0
cmdb_ci_nutanix_storage_pool	0
cmdb_ci_nutanix_vm_instance	0
cmdb_ci_oci_datacenter	0
cmdb_ci_omux_transport	0
cmdb_ci_openstack_datacenter	0
cmdb_ci_optical_carrier_transport_node	0
cmdb_ci_optical_line_amplifier	0
cmdb_ci_optical_line_terminal	0
cmdb_ci_optical_network_terminal	0
cmdb_ci_optical_network_unit	0
cmdb_ci_optical_splitter	0
cmdb_ci_optical_transport	0
cmdb_ci_oracle_asm	0
cmdb_ci_oracle_bi_presentation_service	0
cmdb_ci_oracle_bi_scheduler	0
cmdb_ci_oracle_bi_server	0
cmdb_ci_oracle_cluster	0
cmdb_ci_oracle_cluster_node	0
cmdb_ci_oracle_database	0
cmdb_ci_oracle_enqueue_monitor	0
cmdb_ci_oracle_management_agent	0
cmdb_ci_oslv_container	0
cmdb_ci_oslv_engine	0
cmdb_ci_oslv_image	0
cmdb_ci_oslv_image_tag	0
cmdb_ci_oslv_local_image	0
cmdb_ci_osx_server	0
cmdb_ci_os_packages	0
cmdb_ci_os_template	0
cmdb_ci_ot	0
cmdb_ci_ot_cnc	0
cmdb_ci_ot_control	0
cmdb_ci_ot_control_module	0
cmdb_ci_ot_dcs	0
cmdb_ci_ot_dpu	0
cmdb_ci_ot_ews	0
cmdb_ci_ot_field_device	0
cmdb_ci_ot_historian	0
cmdb_ci_ot_hmi	0
cmdb_ci_ot_ied	0
cmdb_ci_ot_industrial_3d_printer	0
cmdb_ci_ot_industrial_actuator	0
